벤치프레스|상체|가슴운동의 대표적인 운동이며, 다양한 도구를 활용하여 난이도를 조절할 수 있습니다. 높은 중량을 다룰수록 허리와 등근육의 밸런스를 잘 잡아줘야하므로 상체 전반을 운동시킬 수 있어요!|동작 중 견갑골이 움직이면 어깨에 부상을 입을 수 있으니 주의하세요! 허리와 어깨에 부상이 있을 경우에는 동작을 삼가주세요.|10회|1set
푸시업|상체|벤치프레스와 달리 견갑골과 허리가 움직임이 자유로운 상태이기 때문에, 이를 잡아주기 위한 코어근육들도 함께 사용되는 운동입니다. 벤치프레스를 하기 전에 근육을 단련시키는 동작으로 활용하면 좋아요!|배와 허리가 너무 꺾이지 않게 주의하시고, 푸쉬업 바나 덤벨을 활용할 경우 어깨에 무리가 갈 수 있으니 무리하지 않는 범위에서 진행합니다.|8회|3set
체스트 딥스|상체|푸시업의 상위 단계라고 할 수 있으며, 흉근 하부를 자극시키기 좋은 운동입니다. 초보자이거나 과체중일 경우에는 운동을 삼가해주시고, 견갑골의 위치에 따라 메인으로 운동하는 근육이 달라져요!|팔꿈치와 어깨의 높이가 같아지는 정도까지만 내려와주세요. 과도하게 내려갈 경우 어깨에 부상을 입기 쉽습니다.|10회|1set
체스트 플라이|상체|대흉근을 집중적으로 자극하는 운동이며, 덤벨을 주로 활용합니다. 허리에 아치를 유지하고 팔꿈치를 살짝 굽혀준 상태에서 어깨라인까지만 팔을 내렸다 모아줍니다.|과도하게 내려갈 경우 어깨에 무리가 되고 운동효과가 떨어지며, 허리 아치가 너무 깊으면 가슴에 자극이 줄어듭니다.|10회|3set
오버헤드 프레스|상체|종합적인 어깨운동으로, 일어선 상태에서 동작을 할 경우 코어힘까지 강하게 작용하여 상체 전반적인 힘을 기를 수 있습니다.|허리가 과도하게 꺾이지 않도록 주의해주시고, 어깨를 안전한 가동범위 이상으로 움직이실 경우에는 부상을 입을 수 있으니 주의해주세요.|8회|3set
숄더 레이즈|상체|삼각근을 단련하기 좋은 운동 중 하나입니다. 숄더 프레스로 근육의 부피를 키워준 후에 레이즈로 근육의 모양을 다듬어주는게 좋습니다.|덤벨을 활용할 경우, 무게가 무거워질수록 팔꿈치가 많이 굽어지는 것을 주의해주세요. 또한 어깨에 통증이 있을 경우, 손바닥이 앞을 향하는 언더그립으로 실시하면 통증이 줄어듭니다.|10회|2set
업라이트 로우|상체|등의 승모근과 어깨의 삼각근을 메인으로 작용시키는 운동입니다. 덤벨이나 컬바를 사용할 수 있으며, 그립에 따라 표적이 되는 자극점이 달라질 수 있어요!|인체 구조에 부자연스러운 동작 중 하나이므로 최대한 바벨 사용은 삼가해주세요. 근육이나 어깨에 무리가 가지 않는 선에서 진행해주세요!|8회|2set
로우|상체|정면에서 당기는 동작으로 상체 후면 전체를 단련하는 운동입니다. 자세에 따라 변형이 가능하며, 바벨 로우는 초, 중급자가 하기 좋은 동작이에요!|팔꿈치를 당기는 느낌으로 동작을 실행해야 등에 집중이 잘 되며, 허리를 굽힌 채 운동하므로 복압이 풀리지 않도록 주의합니다. 다리와 몸통이 불안정하다면 고중량보다는 횟수를 여러 번 반복하는 방법으로 진행해주세요!|8회|2set
풀다운|상체|중력과 반대되는 방향으로 운동하므로 케이블, 머신, 밴드 등을 활용하여 운동합니다. 중량보다는 정확한 자세와 가동범위가 중요한 동작입니다!|어깨에 과긴장이 오지 않도록 주의해주시고, 반복될 경우 중량을 낮춰주세요! 체중을 실어 몸을 뒤로 눕히며 반동을 사용하지 않도록 주의해주세요.|10회|3set
풀업|상체|풀업은 허리 부담을 비교적 덜 주면서도 견갑골을 잡아주는 근육을 강화시키는 운동이에요. 등 상부를 발달시키는 효과가 커서 어깨를 넓히기에 좋은 운동입니다.|내려가는 동작에서 반동으로 튕겨 올라갈 경우, 어깨관절에 좋지 않으므로 삼가해주세요. 바를 손바닥보다 손가락에 거는 것이 지구력을 향상시키는데에 도움이 됩니다.|10회|1set
트라이셉스 딥스|상체|일반 딥스 동작보다 팔꿈치를 옆구리에 바싹 붙이고 하는 동작입니다. 벤치를 몸 뒤에두고 바닥에 다리를 두고 하는 동작으로도 변형이 가능하며, 이때에 엉덩이는 벤치에 스치도록 수직으로 움직이게 합니다.|팔을 너무 많이 굽히거나, 손의 간격이 어깨보다 좁을 경우에는 부상을 일으키기 쉬우므로 주의해주세요.|10회|3set
트라이셉스 익스텐션|상체|상완삼두근 중에 특히 장두의 능력을 강화시키기 좋은 운동입니다. 상체가 덤벨의 반동에 영향을 받지 않도록 하는 것이 중요해요.|팔꿈치를 완전히 펴지 않도록 하고, 팔꿈치는 최대한 어깨 위쪽으로 고정해주세요. 팔꿈치가 너무 벌어질 경우에는 가동범위가 줄어들어 운동효과가 감소합니다.|10회|3set
트라이셉스 프레스다운|상체|대표적은 내측두, 외측두 운동으로 팔꿈치를 몸 옆에 두고 케이블이나 머신 손잡이를 당겨서 내리는 방식으로 실행합니다.|몸을 앞으로 기울이면 외측두에 운동 효과가 저하되며, 팔꿈치를 펼때 어깨를 움직이거나 허리에 반동을 사용하지 않도록 해주세요.|8회|2set
